FECHA_FERIA,Sexo,Precio_Promedio_Ponderado,Cantidad_Lotes
2024-03-25,HL,6697.46,2
2024-03-25,MC,7617.81,13
2024-03-25,MG,7739.76,3
2024-03-25,ML,9637.86,7
2024-03-25,NC,6523.39,5
2024-03-25,NG,6977.20,11
2024-03-25,VC,5512.40,17
2024-03-25,VG,5881.86,21
2024-03-25,VP,5595.54,3
2024-04-01,BF,5800.00,1
2024-04-01,HL,6439.36,17
2024-04-01,MC,7139.41,61
2024-04-01,MG,7502.81,14
2024-04-01,ML,8805.70,26
2024-04-01,NC,6556.78,24
2024-04-01,NG,7871.16,27
2024-04-01,VC,5732.38,49
2024-04-01,VG,6614.25,44
2024-04-01,VP,5900.20,1
2024-04-01,XX,7597.79,2
2024-04-08,HL,6618.00,20
2024-04-08,MC,7447.52,109
2024-04-08,MG,7485.59,17
2024-04-08,ML,8690.50,52
2024-04-08,NC,6977.98,57
2024-04-08,NG,7355.62,38
2024-04-08,VC,5753.83,51
2024-04-08,VG,6367.74,62
2024-04-08,VP,6290.84,13
2024-04-08,XX,7100.71,1
2024-04-15,BF,5886.31,5
2024-04-15,HL,6779.84,19
2024-04-15,MC,7381.42,110
2024-04-15,MG,7824.88,11
2024-04-15,ML,8985.89,49
2024-04-15,NC,6563.60,51
2024-04-15,NG,7021.70,51
2024-04-15,VC,5534.15,53
2024-04-15,VG,6459.85,80
2024-04-15,VP,6024.36,10
2024-04-22,HL,6339.80,18
2024-04-22,MC,7687.47,85
2024-04-22,MG,7755.43,11
2024-04-22,ML,8772.35,36
2024-04-22,NC,6510.72,39
2024-04-22,NG,7249.04,41
2024-04-22,VC,5611.82,47
2024-04-22,VG,6411.12,67
2024-04-22,VP,5966.48,5
2024-04-29,HL,7091.38,14
2024-04-29,MC,7487.48,103
2024-04-29,MG,8341.54,7
2024-04-29,ML,9081.55,44
2024-04-29,NC,6700.31,34
2024-04-29,NG,7397.47,50
2024-04-29,VC,5436.24,47
2024-04-29,VE,6900.00,1
2024-04-29,VG,6395.59,49
2024-04-29,VP,6173.62,9
2024-05-06,BF,5600.00,1
2024-05-06,HL,6783.42,24
2024-05-06,MC,7623.71,119
2024-05-06,MG,7812.49,15
2024-05-06,ML,8891.28,52
2024-05-06,NC,6901.61,49
2024-05-06,NG,7240.69,68
2024-05-06,VC,5583.93,52
2024-05-06,VG,6597.89,82
2024-05-06,VP,6136.44,12
2024-05-06,XX,8814.56,3
2024-05-13,BF,6820.10,2
2024-05-13,HL,7312.98,12
2024-05-13,MC,7179.67,73
2024-05-13,MG,7887.74,9
2024-05-13,ML,8885.45,39
2024-05-13,NC,7042.65,27
2024-05-13,NG,7353.05,43
2024-05-13,VC,5774.30,35
2024-05-13,VG,6420.54,80
2024-05-13,VP,6393.25,6
2024-05-13,XX,7337.60,2
2024-05-20,HL,6942.97,27
2024-05-20,MC,7385.31,96
2024-05-20,MG,7666.71,17
2024-05-20,ML,9291.03,44
2024-05-20,NC,6905.13,52
2024-05-20,NG,7341.84,38
2024-05-20,VC,5923.23,69
2024-05-20,VG,6473.70,81
2024-05-20,VP,5933.69,15
2024-05-20,XX,5837.61,3
2024-05-27,BF,5411.58,3
2024-05-27,HL,7169.78,22
2024-05-27,MC,7247.32,85
2024-05-27,MG,7665.57,15
2024-05-27,ML,9218.73,58
2024-05-27,NC,6951.14,56
2024-05-27,NG,7201.61,45
2024-05-27,VC,5578.79,72
2024-05-27,VG,6343.30,64
2024-05-27,VP,5854.25,5
2024-05-27,XX,7275.35,3
2024-06-03,HL,6765.48,19
2024-06-03,MC,7562.33,85
2024-06-03,MG,7924.38,6
